At_gene	NAME	s1	s3	s5	r1	r3	r5
AT4G40045	Putative uncharacterized protein	-0.697479568000413	-0.465394205219759	-1.49839262832647	0.510089512983254	-0.43983099446595	0.165710595823371
AT4G40050	Putative uncharacterized protein At4g40050	-0.137854882008281	0.207464913432157	-0.342846826361248	-0.326980661372333	0.0486059596049066	-0.100250820959708
AT4G40060	HB16	-0.309511896878669	-0.213400610089123	-0.977995144716364	-0.156149334661655	-0.30227415885538	-0.071198474108112
AT4G40080	Putative clathrin assembly protein At4g40080	0.204715315881637	0.572269670293944	1.78791339832487	0.788538605990012	1.62487853997411	0.939339198662664
AT4G40090	AGP3	-0.520512374279344	-0.300187220796715	0	-2.80290785528175	2.29508861917578	-2.65171061644465
AT4G38060	AT4G38060 protein	-0.964108792880679	1.7328967207432	0.78109149726617	1.2004684295338	1.60604453845848	-0.363684423269732
AT4G38050	Nucleobase-ascorbate transporter 11	-0.662281880909656	0.65453705882249	0.0105339876473566	-0.23416746071643	-0.0439522536842841	-0.165274921752787
AT4G38040	Exostosin family protein	-0.181173433130452	0.458526462722447	-0.209801194389974	-0.0410891411049689	-0.137627114434038	0.153691216671425
AT4G38030	Rhamnogalacturonate lyase family protein	3.54966280297052	2.46202855074718	6.18716669873758	6.87688232789727	7.64734401114737	0.269294791574535
AT4G38020	At4g38020	-0.795706427625074	-0.252561074614649	-0.952573329460906	0.165875398344434	-1.53423706094415	0.474260363061487
AT4G38000	DOF4.7	-0.453908030329115	0.795429020956126	-2.19343887955748	0	0	0
AT4G37980	Cinnamyl alcohol dehydrogenase 7	-0.755730946468316	0.48978089546978	-0.884310217794255	-2.97437001271304	0.350641302099012	-0.780364992984741
AT4G37970	Probable cinnamyl alcohol dehydrogenase 6	0.596892441034464	0.0213608347368349	0.682494747151928	-1.8728516257465	-0.405965637271753	-1.46384692706717
AT4G37940	At4g37940	-0.271011188654364	0.873995501155761	1.98470431891978	0.688990577845984	0.590081707546388	-0.714346454007398
AT4G37930	Serine hydroxymethyltransferase 1, mitochondrial	-1.6406655073855	0.123765088867476	-2.14999094018243	-1.97790949164745	-0.889521736525579	-1.03956104758453
AT4G37920	Uncharacterized protein At4g37920, chloroplastic	-0.815499471437864	0.0425349792278978	-0.586353175521926	-0.443914001738348	-0.564021861428872	-0.822853345792246
