Gene.ID	log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000056001	2.018901992	0.000260891	CDY08347	BnaC09g12490D	supercontig:AST_PRJEB5043_v1:LK031985:459831:466158:1	BnaC09g12490D protein	AT1G64060	RBOHF	chromosome:TAIR10:1:23769774:23776984:1	Respiratory burst oxidase homolog protein F	88.706	0	3446	2974	GO:0004601;GO:0005509;GO:0016020;GO:0016491;GO:0055114	IPR000778;IPR002048;IPR011992;IPR013112;IPR013121;IPR013130;IPR013623;IPR017927;IPR017938;IPR018247
GSBRNA2T00000078001	-1.497047179	0.031711459	CDY08362	BnaC09g12340D	supercontig:AST_PRJEB5043_v1:LK031985:572152:576671:-1	BnaC09g12340D protein	AT1G64150	PAM71	chromosome:TAIR10:1:23808835:23812725:-1	Protein PAM71, chloroplastic	85.562	0	1031	NA	GO:0016020	IPR001727
GSBRNA2T00000114001	-2.99598593	0.009851504	CDY08382	BnaC09g12140D	supercontig:AST_PRJEB5043_v1:LK031985:783991:784589:-1	BnaC09g12140D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000154001	2.864030011	0.014716808	CDY08400	BnaA05g26360D	supercontig:AST_PRJEB5043_v1:LK031986:37520:38283:1	BnaA05g26360D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR003676
GSBRNA2T00000165001	-1.612583252	0.006284869	CDY08411	BnaA05g26470D	supercontig:AST_PRJEB5043_v1:LK031986:94574:96243:1	BnaA05g26470D protein	AT3G12710	NA	chromosome:TAIR10:3:4040324:4042075:-1	DNA glycosylase superfamily protein	88.254	0	1125	NA	GO:0003824;GO:0006281;GO:0006284;GO:0008725	IPR005019;IPR011257
GSBRNA2T00000188001	4.082258041	0.00028836	CDY08428	BnaA05g26640D	supercontig:AST_PRJEB5043_v1:LK031986:154916:156621:1	BnaA05g26640D protein	AT3G12500	CHI-B	chromosome:TAIR10:3:3962136:3963984:-1	Basic endochitinase B	86.887	0	1046	NA	GO:0004568;GO:0005975;GO:0006032;GO:0008061;GO:0016998	IPR000726;IPR001002;IPR016283;IPR018371;IPR023346
GSBRNA2T00000247001	-1.889266967	0.000474198	CDY08479	BnaA05g27150D	supercontig:AST_PRJEB5043_v1:LK031986:340569:343262:1	BnaA05g27150D protein	AT3G11945	PDS2	chromosome:TAIR10:3:3779839:3782981:-1	Homogentisate prenyltransferase	89.983	0	1498	NA	GO:0004659;GO:0016021	IPR000537
GSBRNA2T00000250001	-2.284005126	0.021292868	CDY08482	BnaA05g27180D	supercontig:AST_PRJEB5043_v1:LK031986:346746:349900:1	BnaA05g27180D protein	AT3G11945	PDS2	chromosome:TAIR10:3:3779839:3782981:-1	Homogentisate prenyltransferase	94.186	1.14e-69	263	NA	NA	NA
GSBRNA2T00000263001	2.287761854	2.42e-05	CDY08492	BnaA05g27280D	supercontig:AST_PRJEB5043_v1:LK031986:407849:409464:1	BnaA05g27280D protein	AT3G11820	SYP121	chromosome:TAIR10:3:3729305:3731251:-1	SYR1	85.87	0	965	NA	GO:0005484;GO:0005515;GO:0006886;GO:0016020;GO:0016192	IPR000727;IPR006011;IPR006012;IPR010989
GSBRNA2T00000275001	-0.981484952	0.015151965	CDY08502	BnaA05g27380D	supercontig:AST_PRJEB5043_v1:LK031986:436071:438492:-1	BnaA05g27380D protein	AT3G11700	FLA18	chromosome:TAIR10:3:3698658:3701514:1	FLA18	86.681	0	1524	382	NA	IPR000782
