Gene.ID	log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000005001	1.484909247	0.032950319	CDY08316	BnaC09g12800D	supercontig:AST_PRJEB5043_v1:LK031985:23889:27369:-1	BnaC09g12800D protein	AT1G63670	NA	chromosome:TAIR10:1:23607357:23610777:-1	Putative uncharacterized protein F24D7.14	82.692	0	1051	NA	NA	IPR022212
GSBRNA2T00000028001	4.303367403	0.003507165	CDY08331	BnaC09g12650D	supercontig:AST_PRJEB5043_v1:LK031985:233230:236803:-1	BnaC09g12650D protein	AT1G63860	NA	chromosome:TAIR10:1:23701423:23706005:-1	TIR-NBS-LRR class disease resistance protein	78.324	0	1476	419	GO:0005515;GO:0006952;GO:0007165;GO:0043531	IPR000157;IPR000767;IPR001611;IPR002182;IPR011713
GSBRNA2T00000054001	1.17616268	0.017104438	CDY08346	BnaC09g12500D	supercontig:AST_PRJEB5043_v1:LK031985:435195:438471:1	BnaC09g12500D protein	AT1G64050	NA	chromosome:TAIR10:1:23762259:23766146:1	F22C12.19	82.621	0	1522	NA	NA	NA
GSBRNA2T00000056001	2.256519623	0.000475586	CDY08347	BnaC09g12490D	supercontig:AST_PRJEB5043_v1:LK031985:459831:466158:1	BnaC09g12490D protein	AT1G64060	RBOHF	chromosome:TAIR10:1:23769774:23776984:1	Respiratory burst oxidase homolog protein F	88.706	0	3446	2974	GO:0004601;GO:0005509;GO:0016020;GO:0016491;GO:0055114	IPR000778;IPR002048;IPR011992;IPR013112;IPR013121;IPR013130;IPR013623;IPR017927;IPR017938;IPR018247
GSBRNA2T00000073001	4.042496038	1.94e-07	CDY08360	BnaC09g12360D	supercontig:AST_PRJEB5043_v1:LK031985:551272:556112:-1	BnaC09g12360D protein	AT1G64110	NA	chromosome:TAIR10:1:23796698:23801799:-1	p-loop containing nucleoside triphosphate hydrolases superfamily protein	89.592	0	3155	NA	GO:0000166;GO:0005524;GO:0017111	IPR003593;IPR003959;IPR003960
GSBRNA2T00000097001	1.038553879	0.016332388	CDY08371	BnaC09g12250D	supercontig:AST_PRJEB5043_v1:LK031985:637479:638341:1	BnaC09g12250D protein	AT1G64370	NA	chromosome:TAIR10:1:23888832:23890132:1	Putative uncharacterized protein	84.677	2.21e-97	355	NA	NA	NA
GSBRNA2T00000130001	1.0038572	0.003530374	CDY08388	BnaC09g12080D	supercontig:AST_PRJEB5043_v1:LK031985:827140:830581:-1	BnaC09g12080D protein	AT1G58030	CAT2	chromosome:TAIR10:1:21464001:21468505:-1	Cationic amino acid transporter 2, vacuolar	87.578	0	2207	NA	GO:0003333;GO:0015171;GO:0016020	IPR002293;IPR015606
GSBRNA2T00000154001	2.004087674	0.030699194	CDY08400	BnaA05g26360D	supercontig:AST_PRJEB5043_v1:LK031986:37520:38283:1	BnaA05g26360D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR003676
GSBRNA2T00000156001	0.725114343	0.042333094	CDY08402	BnaA05g26380D	supercontig:AST_PRJEB5043_v1:LK031986:51258:54107:1	BnaA05g26380D protein	AT3G12800	SDRB	chromosome:TAIR10:3:4063320:4064859:-1	Putative uncharacterized protein At3g12790	86.452	0	952	486	GO:0000166;GO:0008152;GO:0016491	IPR002198;IPR002347;IPR016040
GSBRNA2T00000165001	-3.337857977	0.000896425	CDY08411	BnaA05g26470D	supercontig:AST_PRJEB5043_v1:LK031986:94574:96243:1	BnaA05g26470D protein	AT3G12710	NA	chromosome:TAIR10:3:4040324:4042075:-1	DNA glycosylase superfamily protein	88.254	0	1125	NA	GO:0003824;GO:0006281;GO:0006284;GO:0008725	IPR005019;IPR011257
